HOTEL_CUSTOMER_ID,FOL_ACT_ARR_DATE,FOL_ACT_DEP_DATE,Arrival Month,Departure Month,Duration,DEBIT_TTL,ROOMDEBIT,OTHERDEBIT,FNBDEBIT,ENTERTNDEBIT,RETLDEBIT,CREDIT_TTL,ROOMCREDIT,OTHERCREDIT,FNBCREDIT,ENTERTNCREDIT,RETLCREDIT,TOTAL_CHARGES
61,14-Jan-2003,17-Jan-2003,Jan,Jan,3.00,385.17,337.66,24.99,22.52,0,0,0,0,0,0,0,0,385.17
61,17-Dec-2003,18-Dec-2003,Dec,Dec,1.00,139.87,76.25,39.98,23.64,0,0,0,0,0,0,0,0,139.87
61,17-Oct-2002,18-Oct-2002,Oct,Oct,1.00,108.94,108.94,0,0,0,0,0,0,0,0,0,0,108.94
61,17-Sep-2002,19-Sep-2002,Sep,Sep,2.00,162.47,162.47,0,0,0,0,0,0,0,0,0,0,162.47
61,18-Mar-2003,19-Mar-2003,Mar,Mar,1.00,91.15,87.14,4.01,0,0,0,0,0,0,0,0,0,91.15
61,19-Dec-2003,21-Dec-2003,Dec,Dec,2.00,185.25,0,185.25,0,0,0,0,0,0,0,0,0,185.25
61,19-Jun-2002,20-Jun-2002,Jun,Jun,1.00,194.18,94.22,40.63,52.83,0,6.5,0,0,0,0,0,0,194.18
61,20-Mar-2002,21-Mar-2002,Mar,Mar,1.00,87.14,87.14,0,0,0,0,0,0,0,0,0,0,87.14
61,21-Aug-2003,23-Aug-2003,Aug,Aug,2.00,163.44,0,163.44,0,0,0,0,0,0,0,0,0,163.44
61,25-Feb-2003,26-Feb-2003,Feb,Feb,1.00,76.24,76.24,0,0,0,0,0,0,0,0,0,0,76.24
61,25-May-2004,26-May-2004,May,May,1.00,119.85,119.85,0,0,0,0,0,0,0,0,0,0,119.85
61,27-Oct-2004,28-Oct-2004,Oct,Oct,1.00,170.72,108.95,35.99,25.78,0,0,0,0,0,0,0,0,170.72
61,29-Nov-2003,30-Nov-2003,Nov,Nov,1.00,108.04,98.05,9.99,0,0,0,0,0,0,0,0,0,108.04
61,29-Oct-2003,30-Oct-2003,Oct,Oct,1.00,76.25,76.25,0,0,0,0,0,0,0,0,0,0,76.25
62,25-Mar-2002,29-Mar-2002,Mar,Mar,4.00,204.92,204.92,0,0,0,0,0,0,0,0,0,0,204.92
63,25-Dec-2002,27-Dec-2002,Dec,Dec,2.00,65.35,0,65.35,0,0,0,0,0,0,0,0,0,65.35
63,25-Dec-2002,26-Dec-2002,Dec,Dec,1.00,66.34,65.34,1,0,0,0,0,0,0,0,0,0,66.34
64,21-May-2002,26-May-2002,May,May,5.00,163.44,0,163.44,0,0,0,0,0,0,0,0,0,163.44
65,11-Dec-2002,11-Dec-2002,Dec,Dec,0.00,92.75,76.25,3,13.5,0,0,0,0,0,0,0,0,92.75
66,16-Oct-2002,17-Oct-2002,Oct,Oct,1.00,170.72,136.25,0,34.47,0,0,0,0,0,0,0,0,170.72
66,16-Oct-2002,17-Oct-2002,Oct,Oct,1.00,16.35,16.35,0,0,0,0,0,0,0,0,0,0,16.35
67,17-Mar-2002,18-Mar-2002,Mar,Mar,1.00,131.65,55.59,25.06,51,0,0,0,0,0,0,0,0,131.65
68,10-Jun-2003,12-Jun-2003,Jun,Jun,2.00,136.19,0,136.19,0,0,0,0,0,0,0,0,0,136.19
68,15-Oct-2002,17-Oct-2002,Oct,Oct,2.00,239.68,239.68,0,0,0,0,0,0,0,0,0,0,239.68
68,16-Jun-2003,17-Jun-2003,Jun,Jun,1.00,136.19,0,136.19,0,0,0,0,0,0,0,0,0,136.19
69,3-Jan-2002,6-Jan-2002,Jan,Jan,3.00,405.78,403.03,2.75,0,0,0,0,0,0,0,0,0,405.78
69,9-Feb-2003,13-Feb-2003,Feb,Feb,4.00,723.06,606.04,39.97,77.05,0,0,0,0,0,0,0,0,723.06
70,1-Jul-2003,4-Jul-2003,Jul,Jul,3.00,602.06,414.08,9.99,37.99,140,0,118,0,0,0,118,0,484.06
70,3-Jul-2002,5-Jul-2002,Jul,Jul,2.00,204.66,196.08,0,8.58,0,0,0,0,0,0,0,0,204.66
71,18-Apr-2002,20-Apr-2002,Apr,Apr,2.00,196.08,196.08,0,0,0,0,0,0,0,0,0,0,196.08
72,14-Apr-2002,15-Apr-2002,Apr,Apr,1.00,160.57,129.71,20.15,10.71,0,0,0,0,0,0,0,0,160.57
73,10-Jun-2002,11-Jun-2002,Jun,Jun,1.00,94.74,76.24,0,18.5,0,0,0,0,0,0,0,0,94.74
74,3-Jul-2002,6-Jul-2002,Jul,Jul,3.00,326.83,326.82,0.01,0,0,0,0,0,0,0,0,0,326.83
75,14-Jul-2002,18-Jul-2002,Jul,Jul,4.00,797.52,466.52,118,213,0,0,0,0,0,0,0,0,797.52
76,11-May-2002,14-May-2002,May,May,3.00,322.57,286.67,35.9,0,0,0,0,0,0,0,0,0,322.57
77,26-Feb-2002,27-Feb-2002,Feb,Feb,1.00,125.35,0,125.35,0,0,0,0,0,0,0,0,0,125.35
78,4-Mar-2002,7-Mar-2002,Mar,Mar,3.00,185.12,183.12,2,0,0,0,0,0,0,0,0,0,185.12
79,6-Apr-2002,12-Apr-2002,Apr,Apr,6.00,887.64,719.04,3,165.6,0,0,0,0,0,0,0,0,887.64
80,15-Jun-2002,18-Jun-2002,Jun,Jun,3.00,316.68,252.88,63.8,0,0,0,0,0,0,0,0,0,316.68
81,5-Aug-2002,7-Aug-2002,Aug,Aug,2.00,162.28,152.48,9.8,0,0,0,0,0,0,0,0,0,162.28
82,17-Jun-2002,20-Jun-2002,Jun,Jun,3.00,807.66,518.84,156.91,118.02,0,13.89,0,0,0,0,0,0,807.66
83,30-Apr-2002,1-May-2002,Apr,May,1.00,108.94,108.94,0,0,0,0,0,0,0,0,0,0,108.94
84,4-Sep-2004,8-Sep-2004,Sep,Sep,4.00,1007.83,196.1,172.99,520.74,118,0,0,0,0,0,0,0,1007.83
84,11-Apr-2003,14-Apr-2003,Apr,Apr,3.00,27.25,27.25,0,0,0,0,0,0,0,0,0,0,27.25
84,11-Apr-2003,14-Apr-2003,Apr,Apr,3.00,121.1,65.34,0,55.76,0,0,0,0,0,0,0,0,121.1
84,23-Apr-2004,27-Apr-2004,Apr,Apr,4.00,528.83,174.3,1,353.53,0,0,0,0,0,0,0,0,528.83
84,24-Sep-2004,27-Sep-2004,Sep,Sep,3.00,678.21,283.35,45.15,349.71,0,0,0,0,0,0,0,0,678.21
84,25-Dec-2002,29-Dec-2002,Dec,Dec,4.00,412.99,185.24,0,227.75,0,0,0,0,0,0,0,0,412.99
84,25-Dec-2002,29-Dec-2002,Dec,Dec,4.00,130.8,130.8,0,0,0,0,0,0,0,0,0,0,130.8
84,25-Dec-2004,29-Dec-2004,Dec,Dec,4.00,174.4,174.4,0,0,0,0,0,0,0,0,0,0,174.4
84,25-Dec-2004,29-Dec-2004,Dec,Dec,4.00,584.24,0,45,435.42,0,103.82,0,0,0,0,0,0,584.24
